customer_id,name,phone,address
1,Lisa Taylor,+1-631-958-2263x9325,"[2674, Irwin Lake, West Anthony, 09823]"
2,Jeffrey Marshall,(943)980-8739,"[4979, Ware Station, Port Cynthiafurt, 61374]"
3,David Hampton,001-810-968-3926,"[01724, Timothy Lodge, Crawfordburgh, 05238]"
4,Ruth Ruiz,261.845.2041,"[731, Huber Causeway, Jillhaven, 73473]"
5,Tiffany Dennis,377-737-0725x349,"[7413, Joseph Wells, Melissamouth, 53850]"
6,Tabitha Owens,001-808-216-0215x2327,"[00756, Cooley Loaf, Thompsonport, 78012]"
7,Patricia Bryant,699-517-9077,"[1349, Solis Fort, Kristinaport, 66892]"
8,Kevin Sanchez,428-220-2644,"[48327, Matthew Mission, Jonesland, 71171]"
9,Robert Edwards,5197313176,"[588, Jackson Key, Jamesland, 57852]"
10,Daniel Cox,001-289-769-6465,"[176, Harvey Junctions, West Gabrielle, 72074]"
11,David Proctor,(996)742-5824x4460,"[20606, Andrew Tunnel, Samueltown, 43018]"
12,Michael Deleon,349.279.9627,"[4302, Murphy Ferry, New Codychester, 53520]"
13,Morgan King,001-976-848-9680x14263,"[16638, Duncan Terrace, East Allisonview, 51805]"
14,Danielle Munoz,739-290-0183x8923,"[6261, Cheryl Way, New Theresaview, 86211]"
15,William Harris,971.927.4322x12534,"[65755, White Freeway, Gibsonville, 87086]"
16,Melody Gay,+1-751-295-4370x51548,"[58839, Turner Lane, Weeksborough, 10743]"
17,Sarah Patterson,239-493-9812x584,"[4761, Cummings Rest, Sellerschester, 45586]"
18,Anthony Caldwell,(301)651-0000x2828,"[334, Richard Well, Lake Jasonville, 55958]"
19,Emily Blake,9706839679,"[196, Bates Junctions, Schmittton, 65293]"
20,Matthew Lloyd,+1-736-978-1825x9685,"[049, Amber Parkway, West Heather, 77898]"
21,Jared Saunders,+1-994-889-8494x579,"[339, Guerrero Walk, New Jennifer, 20386]"
22,Kerri Stanley,745-566-5887x21475,"[548, Jones Inlet, Aprilfort, 33591]"
23,Michael Ingram,+1-430-688-0787x463,"[28317, Griffin Track, Port Alexander, 14524]"
24,Sara Wright,7762801707,"[88900, Evelyn Keys, Contrerasfort, 10940]"
25,Thomas Fisher,+1-586-695-1944x650,"[081, Lee Skyway, Cruzbury, 61128]"
26,Emily Skinner,334-649-9178x8936,"[060, Lisa Ville, North Jordan, 60571]"
27,Jessica Bradley,+1-214-956-9763,"[82382, Andrea Ville, Port George, 94963]"
28,George Dunn,8137387186,"[2866, Stevens Locks, East Steven, 42197]"
29,Danielle Taylor,(911)313-9995,"[736, Wells Mount, East Michaelhaven, 35709]"
30,Jeremy Hernandez,454.258.8931,"[74569, Evans Loop, East Jason, 44841]"
31,Christopher Douglas,967.770.8755x808,"[73920, Alex Mission, Rileyberg, 61283]"
32,Hannah George,677-779-7482x3724,"[20177, Christine Manors, South Shannonport, 26183]"
33,Nancy Scott,(899)251-8487,"[411, Rodney Circle, Bradyville, 25213]"
34,Jesus Ellis,(641)345-4536x318,"[460, Valerie Divide, Copelandborough, 70028]"
35,Natalie Martinez,(572)362-8621,"[48736, Brittney Walk, Port Rachelshire, 84913]"
36,Heather Smith,507-833-3213x643,"[35879, Collier Knoll, Danielport, 50841]"
37,Gabrielle Taylor,(232)631-8439,"[599, James Overpass, New Jeffreytown, 02123]"
38,Kelly Hart,(719)763-7718x5031,"[62207, Amy Isle, Williamsborough, 93355]"
39,Sandra Miller,472-863-7763,"[62744, Helen Islands, Michaelfurt, 27718]"
